movie name,movie description,casting,average rating
Thor the Dark World,"When Jane Foster is possessed by a great power, Thor must protect her from a new threat of old times: the Dark Elves",Chris Hemsworth| Natalie Portman| Tom Hiddleston,7.3
Rio 2,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled Rio de Janeiro to the wilds of the Amazon.",Jesse Eisenberg| Anne Hathaway|  Jemaine Clement,6.8
American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",Christian Bale| Amy Adams| Bradley Cooper,7.4
Captain America,Steve Rogers struggles to embrace his role in the modern world and battles a new threat from old history: the Soviet agent known as the Winter Soldier.,Chris Evans| Samuel L. Jackson| Scarlett Johansson,8.2
Stuart Little,"The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.",Michael J. Fox| Geena Davis| Hugh Laurie,5.9
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is himself diagnosed with the disease.",Matthew McConaughey| Jennifer Garner| Jared Leto,8
Avengers,Nick Fury of S.H.I.E.L.D. assembles a team of superheroes to save the planet from Loki and his army.,Robert Downey Jr.| Chris Evans| Scarlett Johansson,8.2
Spider-Man,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Tobey Maguire| Kirsten Dunst| Willem Dafoe,7.3
Twilight,A teenage girl risks everything when she falls in love with a vampire.,Kristen Stewart| Robert Pattinson| Billy Burke ,5.2
Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",Ben Affleck| Bryan Cranston| John Goodman,7.8
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Marlon Brando| Al Pacino| James Caan,9.2
12 Angry Men ,A dissenting juror in a murder trial slowly manages to convince the others that the case is not as obviously clear as it seemed in court.,Henry Fonda| Lee J. Cobb| Martin Balsam,8.9
The Departed,"An undercover state cop who has infiltrated an Irish gang and a mole in the police force working for the same mob race to track down and identify each other before being exposed to the enemy, after both sides realize their outfit has a rat.",Leonardo DiCaprio| Matt Damon| Jack Nicholson,8.5
Swordfish,A secretive renegade counter-terrorist co-opts the world's greatest hacker (who is trying to stay clean) to steal billions in US Government dirty money.,John Travolta| Hugh Jackman| Halle Berry,6.5
The Shawshank Redumption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Tim Robbins| Morgan Freeman| Bob Gunton,9.2
The Dark Knight,"When Batman, Gordon and Harvey Dent launch an assault on the mob, they let the clown out of the box, the Joker, bent on turning Gotham on itself and bringing any heroes down to his level.",Christian Bale| Heath Ledger| Aaron Eckhart,9
Pulp Fiction,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",John Travolta| Uma Thurman| Samuel L. Jackson,9
